id,order_id,supply_item_id,quantity,unit_price,line_total
1,1,1,4,138,552
2,1,2,9,158,1422
3,1,3,6,198,1188
4,1,4,3,80,240
5,2,1,5,138,690
6,2,2,6,158,948
7,2,3,4,198,792
8,2,4,2,80,160
9,3,1,4,138,552
10,3,2,7,158,1106
11,3,3,4,198,792
12,3,4,2,80,160
13,4,1,5,138,690
14,4,2,6,158,948
15,4,3,3,198,594
16,4,4,1,80,80
17,4,8,1,160,160
18,5,1,5,138,690
19,5,2,9,158,1422
20,5,3,4,198,792
21,5,4,3,80,240
22,5,5,1,220,220
27,7,1,5,138,690
28,7,2,8,158,1264
29,7,3,2,198,396
30,7,4,2,80,160
36,9,1,5,138,690
37,9,2,7,158,1106
38,9,3,4,198,792
39,9,4,4,80,320
40,9,7,1,370,370
41,10,1,5,138,690
42,10,2,9,158,1422
43,10,3,3,198,594
44,10,4,3,80,240
45,11,1,6,138,828
46,11,2,12,158,1896
47,11,3,5,198,990
48,11,4,4,80,320
49,12,1,5,138,690
50,12,2,6,158,948
51,12,3,3,198,594
52,12,4,1,80,80
53,12,5,1,220,220
54,12,6,1,170,170
55,12,7,1,370,370
56,13,1,4,138,552
57,13,2,6,158,948
58,13,3,4,198,792
59,13,4,1,80,80
60,13,8,1,160,160
61,14,1,5,138,690
62,14,2,7,158,1106
63,14,3,2,198,396
64,14,4,4,80,320
65,15,1,5,138,690
66,15,2,7,158,1106
67,15,3,2,198,396
68,15,4,4,80,320
69,16,1,6,138,828
70,16,2,3,158,474
71,16,3,6,198,1188
72,16,4,1,80,80
77,18,1,6,138,828
78,18,2,7,158,1106
79,18,3,1,198,198
80,18,4,2,80,160
81,19,1,6,138,828
82,19,2,10,158,1580
83,19,3,4,198,792
84,19,4,2,80,160
85,19,5,1,220,220
86,19,8,1,160,160
87,20,1,5,138,690
88,20,2,6,158,948
89,20,3,4,198,792
90,20,4,2,80,160
91,21,1,5,138,690
92,21,2,7,158,1106
93,21,3,4,198,792
94,21,4,3,80,240
